42655869329237857, "GMC", "Terrain", 1992, Green, 34393
80633103447213074, "Cadillac", "CTS", 1991, Blue, 81640
07296553564197492, "Cadillac", "CTS", 2001, White, 81236
55593721250669122, "Cadillac", "Escalade", 1994, Tan, 24898
57907701478961805, "Honda", "Civic", 2001, Purple, 43857
61619692579678392, "Cadillac", "SRX", 1990, White, 25306
40492283654466278, "GMC", "Denali", 2001, White, 59334
81001833273787160, "Hummer", "H3", 2006, Purple, 69143
37936332744965890, "Honda", "Accord", 1994, Blue, 50588
10519082239178420, "Chevrolet", "Colorado", 2002, Orange, 48058
41643583315025139, "GMC", "Terrain", 2009, Black, 38716
90014889540285780, "BMW", "1 Series", 1998, Orange, 69209
14709535327343342, "Dodge", "Avenger", 1982, Green, 41618
00702665099928555, "Acura", "ILX", 2004, Blue, 82678
66895838658361046, "BMW", "5 Series", 2005, Tan, 38616
81341374930948708, "Acura", "RL", 1982, Purple, 57515
09084668459710386, "Ford", "Focus", 1993, Orange, 68093
61075745164148718, "Buick", "LaCrosse", 1981, Yellow, 30448
95950444625691456, "GMC", "Denali", 1995, Gray, 52151
37912914022102746, "BMW", "1 Series", 1987, Black, 33678
48525755504616541, "Buick", "Encore", 1987, Blue, 35427
73339362130756603, "Buick", "Encore", 1990, Tan, 51700
44071929894344738, "BMW", "5 Series", 1994, Tan, 31556
65428609065346287, "Buick", "Encore", 1981, Gray, 53600
81782561759179999, "Chrysler", "300", 1984, Green, 81795
37208245648622114, "BMW", "1 Series", 2008, Red, 57008
43655320557778123, "Hummer", "H2", 1990, Black, 73268
69429473136791013, "Audi", "A2", 1999, White, 21198
07937872133753148, "Chrysler", "Town & Country", 2000, Orange, 25907
93121147757604698, "GMC", "Denali", 1987, Gray, 43924
79553534528961000, "Audi", "A6", 2009, Purple, 55715
34724242312985630, "Dodge", "Charger", 1987, White, 42217
33330138963889041, "Ford", "Focus", 1998, Blue, 80987
93016739262614943, "Cadillac", "CTS", 1993, Tan, 74543
71805542557583532, "GMC", "Denali", 1986, Green, 35479
96946227718515377, "Chrysler", "300", 1992, Green, 56234
90728865152018437, "GMC", "Yukon", 1994, Red, 39126
02992457858878653, "Audi", "A4", 1990, Red, 48733
65037818812834481, "BMW", "3 Series", 2007, Black, 24195
99038508983142050, "Chrysler", "200", 1983, Green, 63728
84229933432683101, "Honda", "Accord", 2007, Green, 56639
94014865249680524, "Hummer", "H2", 1990, Tan, 67117
12745611107113298, "Honda", "Accord", 2011, Tan, 27516
07649358081038841, "Ford", "Fiesta", 1982, Tan, 57374
35721321921690140, "Chrysler", "Town & Country", 1983, Blue, 43694
14124720765409922, "Chrysler", "200", 2007, Blue, 60166
50166692316753403, "GMC", "Denali", 1984, White, 84076
98049677439515309, "Chevrolet", "Sonic", 1981, Tan, 53863
12166965784745514, "Chevrolet", "Avalanche", 1998, Green, 83556
10831317442508483, "Chevrolet", "Avalanche", 1987, Yellow, 84738
66617274207238568, "BMW", "3 Series", 2012, White, 35570
02153954432069436, "Cadillac", "CTS", 1997, Red, 68246
56656853977031107, "Buick", "LaCrosse", 1986, Black, 65773
00588339315163926, "Ford", "Fusion", 2003, Green, 60229
74461879091709138, "Cadillac", "CTS", 2008, Red, 67814
88551615301783772, "Chevrolet", "Silverado", 1988, Red, 42126
48254805193866792, "Chrysler", "300", 1992, Blue, 75631
87626473343599514, "GMC", "Yukon", 2002, Tan, 64172
66908068945791267, "Chevrolet", "Silverado", 1999, White, 29990
09548748816915095, "GMC", "Denali", 2012, White, 61224
31108410519270028, "Chrysler", "200", 2012, Orange, 60713
19863282745043473, "Honda", "Civic", 1985, Green, 30580
44046516347110514, "BMW", "1 Series", 1996, Yellow, 57265
29173248284231969, "BMW", "5 Series", 1995, Orange, 79330
93530237678852010, "Acura", "ILX", 1987, Orange, 82899
97081171665197644, "Ford", "Fiesta", 2011, Gray, 48292
44068956643837128, "Chrysler", "Town & Country", 2002, Red, 51418
27482614571569616, "Acura", "ILX", 1992, Black, 40915
84292244293677204, "GMC", "Terrain", 2007, Red, 57130
42727440524917283, "Cadillac", "CTS", 2009, Tan, 81319
66905151715642002, "Chevrolet", "Silverado", 2002, Purple, 41112
63699573359456529, "Acura", "ILX", 2009, Green, 79336
73290681244853336, "Buick", "LaCrosse", 2008, Purple, 25588
39043694889099783, "Buick", "Encore", 1991, Purple, 25154
17396370121274880, "Buick", "LaCrosse", 1998, Yellow, 28506
18542034041540032, "Honda", "Fit", 1981, Blue, 37325
94203015843507741, "GMC", "Terrain", 1985, Red, 36120
57971707311637852, "Chrysler", "200", 1991, Purple, 44471
53863019788859576, "Hummer", "H2", 1982, White, 46539
77918384737722952, "Ford", "Fiesta", 2000, White, 66474
24103202692800196, "Honda", "Accord", 2012, Blue, 33144
68407024368674898, "Dodge", "Charger", 1994, White, 74109
28280729507124360, "Audi", "A2", 2008, Yellow, 26083
34111248468658597, "Hummer", "H2", 1995, Orange, 76271
10137622858291431, "Ford", "Fusion", 2000, Yellow, 38521
76549816146575129, "BMW", "3 Series", 1981, White, 64959
18331520326968994, "Buick", "LaCrosse", 2005, Gray, 34245
99701603744095737, "Dodge", "Avenger", 1987, Blue, 43205
11374112602335151, "Cadillac", "Escalade", 2000, Red, 67269
28291943387951076, "BMW", "1 Series", 2008, White, 64829
52061134052464519, "Hummer", "H3", 2005, Orange, 20829
08566767119382516, "Audi", "A2", 1984, Black, 35149
58867737635191878, "Ford", "Fusion", 2010, White, 82178
