32693755623267800, 520, "Aisle 18 Bin 82", 51, 1
66685891346784304, 700, "Aisle 20 Bin 38", 35, 0
63796688846772600, 197, "Aisle 38 Bin 230", 71, 1
28513221458231700, 110, "Aisle 38 Bin 195", 60, 0
31058012168986700, 540, "Aisle 40 Bin 234", 55, 1
92510294876149904, 308, "Aisle 29 Bin 233", 37, 0
44010785208600200, 250, "Aisle 30 Bin 98", 10, 1
70836229258965104, 130, "Aisle 22 Bin 117", 3, 0
45267838119109504, 620, "Aisle 20 Bin 125", 70, 1
16118554875769200, 150, "Aisle 40 Bin 106", 35, 0
49784068834740896, 536, "Aisle 39 Bin 235", 58, 1
54886235723176896, 118, "Aisle 16 Bin 226", 19, 0
1315100599733720, 160, "Aisle 40 Bin 236", 24, 1
26271275419424100, 284, "Aisle 24 Bin 172", 11, 0
96946227718515296, 409, "Aisle 34 Bin 133", 88, 1
81054938594661200, 430, "Aisle 3 Bin 162", 44, 0
7158552349812790, 257, "Aisle 10 Bin 102", 20, 1
16386684091714400, 475, "Aisle 18 Bin 24", 29, 0
94901883769935104, 190, "Aisle 23 Bin 224", 32, 1
35742348104784600, 279, "Aisle 5 Bin 9", 48, 0
33615169936873900, 288, "Aisle 22 Bin 109", 15, 1
1363701065138800, 447, "Aisle 18 Bin 86", 8, 0
90993710078005904, 155, "Aisle 27 Bin 14", 49, 1
28291943387951000, 700, "Aisle 25 Bin 158", 31, 0
68433132458356304, 160, "Aisle 13 Bin 249", 21, 1
8241497742653250, 116, "Aisle 35 Bin 209", 19, 0
63560443263874496, 306, "Aisle 48 Bin 169", 28, 1
26271275419424100, 190, "Aisle 42 Bin 63", 31, 0
11443091924302000, 679, "Aisle 36 Bin 10", 32, 1
17421998355166100, 536, "Aisle 21 Bin 150", 7, 0
79656087918936800, 512, "Aisle 46 Bin 68", 15, 1
83360534273062304, 238, "Aisle 1 Bin 151", 131, 0
66108629678757296, 511, "Aisle 42 Bin 117", 44, 1
42561997788525200, 540, "Aisle 34 Bin 2", 124, 0
95658339988012800, 215, "Aisle 28 Bin 182", 6, 1
92899839188270800, 619, "Aisle 13 Bin 134", 39, 0
82105315812667104, 250, "Aisle 49 Bin 221", 19, 1
96434962215646496, 408, "Aisle 32 Bin 61", 48, 0
97710511555451008, 288, "Aisle 27 Bin 55", 58, 1
68002600064590096, 520, "Aisle 45 Bin 192", 31, 0
5319142881407470, 511, "Aisle 19 Bin 100", 10, 1
43717289637117904, 674, "Aisle 6 Bin 191", 8, 0
49700266886848496, 570, "Aisle 17 Bin 113", 48, 1
83498531664303504, 114, "Aisle 25 Bin 33", 27, 0
14580446201792300, 538, "Aisle 39 Bin 188", 9, 1
97853515047935504, 275, "Aisle 38 Bin 154", 38, 0
17410712872897000, 202, "Aisle 28 Bin 91", 32, 1
8027669998379880, 620, "Aisle 33 Bin 111", 75, 0
36578778432483104, 238, "Aisle 12 Bin 206", 39, 1
45161723819644096, 551, "Aisle 29 Bin 153", 38, 0
45947332888556600, 500, "Aisle 40 Bin 214", 33, 1
94944511049849792, 164, "Aisle 36 Bin 186", 34, 0
19857017537510200, 606, "Aisle 14 Bin 155", 5, 1
3072024058973990, 336, "Aisle 17 Bin 157", 17, 0
7937872133753140, 135, "Aisle 39 Bin 36", 41, 1
46452510275544496, 250, "Aisle 12 Bin 62", 68, 0
85206154049678592, 125, "Aisle 31 Bin 193", 87, 1
56581855235082304, 700, "Aisle 23 Bin 228", 17, 0
11058458588418200, 655, "Aisle 49 Bin 142", 16, 1
69821473818609400, 500, "Aisle 49 Bin 117", 26, 0
86813893481781104, 326, "Aisle 37 Bin 68", 54, 1
27851323718389500, 116, "Aisle 26 Bin 123", 25, 0
70951521766926000, 238, "Aisle 6 Bin 98", 53, 1
95351650117892192, 284, "Aisle 9 Bin 82", 125, 0
98962596116801600, 185, "Aisle 15 Bin 50", 28, 1
98653721423684000, 533, "Aisle 26 Bin 45", 8, 0
36482006878849600, 163, "Aisle 28 Bin 49", 55, 1
7405923483632550, 680, "Aisle 36 Bin 112", 26, 0
66518995413617200, 185, "Aisle 36 Bin 185", 78, 1
69495387058987000, 551, "Aisle 19 Bin 66", 16, 0
25717805936609800, 700, "Aisle 32 Bin 1", 75, 1
66662940526078000, 278, "Aisle 4 Bin 198", 55, 0
49858977113467400, 284, "Aisle 34 Bin 193", 66, 1
3473610285283300, 308, "Aisle 13 Bin 195", 18, 0
44835997830337400, 320, "Aisle 13 Bin 211", 15, 1
33064248063888600, 638, "Aisle 46 Bin 162", 55, 0
8828426501940350, 125, "Aisle 15 Bin 12", 14, 1
83389719867578592, 434, "Aisle 40 Bin 178", 4, 0
60389450542543104, 102, "Aisle 6 Bin 131", 63, 1
78093058674591296, 120, "Aisle 22 Bin 68", 114, 0
97934232415322496, 553, "Aisle 12 Bin 201", 33, 1
47847681692426304, 202, "Aisle 16 Bin 130", 21, 0
29223132129286300, 155, "Aisle 21 Bin 158", 30, 1
44974352008748400, 700, "Aisle 17 Bin 200", 40, 0
5880814668353600, 215, "Aisle 44 Bin 25", 45, 1
36578778432483104, 170, "Aisle 24 Bin 166", 16, 0
65855289783892496, 117, "Aisle 31 Bin 124", 33, 1
